company,location,perks,posted,request_date,salary,tags,title
Kindred AI,"
             - 
Toronto, ON, Canada        ",,< 1h ago,2018-11-15 13:42:44.056522,C$90k - 110k,"scrum, agile",Technical Program Manager
Articulate Inc.,"
             - 
No office location        ",Remote,< 1h ago,2018-11-15 13:42:44.058503,,"node.js, amazon-web-services, terraform, docker, kubernetes",Platform Engineer
Challengermode,"
             - 
Stockholm, Sweden        ",Visa sponsor,< 1h ago,2018-11-15 13:42:44.059503,"SEK 420k - 624k

                         | 
Equity","c#, asp.net, angularjs, javascript, .net",Fullstack Web Developer at Esports Tech Startup
Compliance Solutions Strategies,"
             - 
New York, NY        ",,< 1h ago,2018-11-15 13:42:44.061502,,"c#, .net, javascript, node.js",Front to back Developer
Celonis SE,"
             - 
München, Germany        ",,< 1h ago,2018-11-15 13:42:44.063500,,"java, spring, java-ee, rest, springboot",Senior Java Developer
Boyle Software,"
             - 
New York, NY        ",,< 1h ago,2018-11-15 13:42:44.064499,$90k - 120k,"javascript, reactjs, angular, node.js, vue.js",Front End Developer
Velocity Resource Group,"
             - 
Franklin Lakes, NJ        ",Paid relocation,< 1h ago,2018-11-15 13:42:44.066498,,"java, spring, user-interface, jira, jenkins",Sr. Full Stack Software Development Engineer
Curotec,"
             - 
No office location        ",Remote,< 1h ago,2018-11-15 13:42:44.067498,,"laravel, php, javascript, html5, vue.js",Laravel and VueJS development team leader
Grid Dynamics,"
             - 
Atlanta, GA        ",Paid relocation,< 1h ago,2018-11-15 13:42:44.069496,,"java, cassandra",Sr. Java Engineer
Pulsify Inc,"
             - 
Boston, MA        ",,< 1h ago,2018-11-15 13:42:44.070496,"$90k - 125k

                         | 
Equity","reactjs, javascript, node.js, graphql, angular",Front-end/Full Stack Javascript/React Developer
IZT GmbH,"
             - 
Erlangen, Deutschland        ",,< 1h ago,2018-11-15 13:42:44.072495,,"c++, boost, sql, wxwidgets","C++ Entwickler (Junior, Senior) Windows/Linux Desktop"
zooplus AG,"
             - 
Kraków, Poland        ",,< 1h ago,2018-11-15 13:42:44.073494,,"java, spring, amazon-web-services, microservices, docker",Fullstack Developer (f/m)
zooom productions gmbh,"
             - 
Fuschl am See, Österreich        ",,< 1h ago,2018-11-15 13:42:44.075493,,"html5, css3, twitter-bootstrap, javascript, compass",Senior Frontend Developer (m/f)
Quby,"
             - 
Amsterdam, Netherlands        ","Visa sponsor, Paid relocation",< 1h ago,2018-11-15 13:42:44.076493,€50k - 70k,"spring, java, spring-mvc, akka, java-ee",Senior Java Developer
Quby,"
             - 
Amsterdam, Netherlands        ","Visa sponsor, Paid relocation",< 1h ago,2018-11-15 13:42:44.078492,€50k - 70k,"javascript, css, html, reactjs, redux",Frontend Developer
Dam Digital Limited,"
             - 
London, UK        ",,< 1h ago,2018-11-15 13:42:44.080490,£35k - 45k,".net, c#, entity-framework-6, rest",".Net Developer: £35,000 - £45,000"
Blinkist,"
             - 
Berlin, Germany        ","Visa sponsor, Paid relocation",< 1h ago,2018-11-15 13:42:44.081490,,"android, kotlin, rxjava, gradle, mobile",Senior Android Developer
Bloomberg BNA,"
             - 
Washington, DC        ",,< 1h ago,2018-11-15 13:42:44.083488,$135k - 180k,"scala, java, amazon-web-services, bigdata",Big Data Engineer
XING SE,"
             - 
Munich, Germany        ","Visa sponsor, Paid relocation",< 1h ago,2018-11-15 13:42:44.084488,€50k - 76k,"react, ruby, ruby-on-rails, elasticsearch, docker",(Senior) Software Engineer (m/f/d) - Ruby on Rails
Bloomberg BNA,"
             - 
Washington, DC        ",,< 1h ago,2018-11-15 13:42:44.086487,,"java, etl, user-experience, hadoop, python",Data Architect
Bloomberg BNA,"
             - 
Arlington, VA        ",Visa sponsor,< 1h ago,2018-11-15 13:42:44.087486,$130k - 180k,"java, bigdata, amazon-web-services, scala, apache-spark",Data Engineer
ThoughtTrace,"
             - 
Magnolia, TX        ",,< 1h ago,2018-11-15 13:42:44.089485,,"c#, asp.net, angular, angularjs, machine-learning",Full-Stack .NET Developer
Bloomberg BNA,"
             - 
Arlington, VA        ",,< 1h ago,2018-11-15 13:42:44.090741,$135k - 160k,".net, reactjs, angularjs, javascript",.NET Developer
SFR,"
             - 
Paris, France        ",,< 1h ago,2018-11-15 13:42:44.090741,,moa,Chef de projet confirmé (h/f) - Support technique et Exploitabilité
Gravity Technologies,"
             - 
New York, NY        ",,< 1h ago,2018-11-15 13:42:44.094626,"$120k - 240k

                         | 
Equity","ios, android, mobile, multithreading, push-notification",Software Engineer (Android / iOS)
Sandvik Machining Solutions AB,"
             - 
Stockholm, Sweden        ",Paid relocation,1h ago,2018-11-15 13:42:44.572363,€45k - 65k,"r, machine-learning, python, deep-learning, bigdata",Senior Data Scientist
Gravity Technologies,"
             - 
New York, NY        ",,< 1h ago,2018-11-15 13:42:44.572363,"$120k - 240k

                         | 
Equity","go, ruby, ruby-on-rails, redis, postgresql",Software Engineer (Backend)
JP Morgan Chase,"
             - 
Jersey City, NJ        ",,< 1h ago,2018-11-15 13:42:44.572363,,"java, python, sql","Software Engineer - VBA, Excel, Python"
JP Morgan Chase,"
             - 
Glasgow, UK        ",,< 1h ago,2018-11-15 13:42:44.572363,,"java, python, sql","Platform Services, Senior Technical Solutions Engineer"
Schreiber Foods,"
             - 
Green Bay, WI        ",Paid relocation,< 1h ago,2018-11-15 13:42:44.572363,,"java, sql, project-management, oracle-ebs",Software Developer
Scotiabank,"
             - 
Toronto, ON, Canada        ",,< 1h ago,2018-11-15 13:42:44.572363,,"reactjs, javascript, css","Full Stack Software Developer (Node JS, React) - Digital Factory"
Celonis SE,"
             - 
München, Germany        ",,1h ago,2018-11-15 13:42:44.572363,,"java, angular, cloud, aws, docker","Senior Full Stack Developer (Java, Angular, Cloud) (m/f)"
"Tenable, Inc.","
             - 
San Jose, CA        ",,1h ago,2018-11-15 13:42:44.587987,,"reactjs, javascript, css",Sr. UI Engineer
Prototype Interactive,"
             - 
Dubai, United Arab Emirates        ",,1h ago,2018-11-15 13:42:44.587987,,"project-management, javascript",Technical Producer
Whow Games GmbH,"
             - 
Hamburg, Deutschland        ",Paid relocation,1h ago,2018-11-15 13:42:44.587987,,"xcode, android-studio, objective-c, unity3d, c#",Full Stack Developer
HAUSGOLD - talocasa GmbH,"
             - 
Hamburg, Deutschland        ",Remote,1h ago,2018-11-15 13:42:44.587987,,"reactjs, javascript, sass",Frontend Developer (m/w) (Remote)
SFR,"
             - 
Saint-Denis, France        ",,1h ago,2018-11-15 13:42:44.587987,,"java, sql, tomcat",Concepteur et Développeur WEB confirmé (h/f)
Jochen Schweizer mydays Holding GmbH,"
             - 
München, Deutschland        ",,1h ago,2018-11-15 13:42:44.587987,,"reactjs, javascript, css, html, node.js",(Full-Stack) Web-Developer (w/m)
Hays plc,"
             - 
Berlin, Deutschland        ",,1h ago,2018-11-15 13:42:44.587987,,"reactjs, web-services, python",Fullstack Developer IoT Platform (m/w)
careerbuilder,"
             - 
Norcross, GA        ",Paid relocation,1h ago,2018-11-15 13:42:44.587987,,"amazon-web-services, node.js, ruby, hadoop, c#",Software Architect - Consumer Platform
Delivery Hero SE,"
             - 
Berlin, Germany        ","Visa sponsor, Paid relocation",1h ago,2018-11-15 13:42:44.587987,,"scala, akka, playframework, cassandra",Senior Software Engineer - Scala (f/m/d)
comparethemarket.com,"
             - 
London, UK        ",Paid relocation,1h ago,2018-11-15 13:42:44.587987,,"reactjs, agile, oop, node.js",Senior Software Engineer  Node.JS
AlphaSights,"
             - 
London, UK        ",Visa sponsor,1h ago,2018-11-15 13:42:44.603593,,"java, java-ee, ruby",Senior Java Back End Software Engineer
Acrolinx,"
             - 
Berlin, Deutschland        ",,1h ago,2018-11-15 13:42:44.603593,,"cloud, amazon-web-services, terraform",Cloud Platform Engineer (m/f/d)
Blackbaud,"
             - 
Minneapolis, MN        ",,2h ago,2018-11-15 13:42:44.603593,,"scrum, javascript, angularjs",Full Stack Software Engineer
Intact,"
             - 
Toronto, ON, Canada        ",,2h ago,2018-11-15 13:42:44.603593,,"java, java-ee, angular, ajax, plsql",Senior/Lead Java Developer
mytaxi (Intelligent Apps GmbH),"
             - 
Berlin, Germany        ","Visa sponsor, Paid relocation",2h ago,2018-11-15 13:42:44.603593,,"ios, objective-c, android, software-design, scrum",iOS Developer (m/f) wanted for leading e-hailing app in Europe (Berlin)
Bilbayt,"
             - 
No office location        ",Remote,2h ago,2018-11-15 13:42:44.603593,,"ux, user-experience, graphic-design, adobe-illustrator, photoshop",UX Designer
YouGov,"
             - 
Warsaw, Poland        ",,2h ago,2018-11-15 13:42:44.603593,zł144k - 192k,"python, postgresql, django, git",Senior Python Developer - Help us answer unanswerable questions!
Kyruus,"
             - 
Boston, MA        ",,2h ago,2018-11-15 13:42:44.603593,"$110k - 160k

                         | 
Equity","python, flask, amazon-web-services",Senior/Principal Software Engineers -  (Front End)
"CoinCircle, Inc.","
             - 
Santa Monica, CA        ",Paid relocation,2h ago,2018-11-15 13:42:45.141592,"$75k - 150k

                         | 
Equity","react, go, postgresql, node, solidity",Full-Stack Engineer at a Blockchain Startup with Huge Growth Opportunities
McLaren Applied Technologies,"
             - 
Singapore        ",,2h ago,2018-11-15 13:42:45.141592,,"c#, agile, tdd, architecture",Senior Software Engineer - C#
Common Living Inc.,"
             - 
New York, NY        ","On-site and limited remote, Paid relocation",2h ago,2018-11-15 13:42:45.141592,Equity,"design, ruby, rails, native, next.js",Engineering Manager
Showtime Networks,"
             - 
New York, NY        ",Visa sponsor,2h ago,2018-11-15 13:42:45.141592,,"javascript, node.js, css, ios, html5",Frontend Developer - Product
Scotiabank,"
             - 
Toronto, ON, Canada        ",,2h ago,2018-11-15 13:42:45.157215,,"database, testing",Software Engineer - Platform Organization
The Economist,"
             - 
Birmingham, UK        ",,2h ago,2018-11-15 13:42:45.157215,,"reactjs, node.js, amazon-web-services, microservices, go, sysadmin",Engineer - DevOps Birmingham
Vistar Media,"
             - 
Philadelphia, PA        ",,2h ago,2018-11-15 13:42:45.157215,,"reactjs, java, javascript, python, go",Software Engineer
AXA Schweiz,"
             - 
Winterthur, Switzerland        ",,2h ago,2018-11-15 13:42:45.157215,,"reactjs, git, rest, maven, jpa",Java Software Engineer digitale Schadenabwicklung
AXA Schweiz,"
             - 
Winterthur, Switzerland        ",,2h ago,2018-11-15 13:42:45.157215,,"hadoop, data-warehouse, analytics, business-intelligence, hive",Informationsarchitekt/in Analytics
AXA Schweiz,"
             - 
Winterthur, Switzerland        ",,2h ago,2018-11-15 13:42:45.157215,,"javascript, reactjs, angular, html, node.js",Hands-on Frontend-Engineer Digital Experience
Oliver Wyman Labs,"
             - 
Dublin, Ireland        ",,2h ago,2018-11-15 13:42:45.157215,,"javascript, python, docker, node.js, mongodb",Software Engineers wanted for our Innovation Centre: cool tech & business impact
MotorK,"
             - 
Milano, Italy        ",Paid relocation,2h ago,2018-11-15 13:42:45.157215,,"laravel, symfony, php",Senior PHP Developer
d&b audiotechnik GmbH,"
             - 
Backnang, Deutschland        ",,2h ago,2018-11-15 13:42:45.157215,,"c++, android, ios",Senior Software Entwickler / Software Architekt (w/m)
mediawave internet solutions GmbH,"
             - 
München, Deutschland        ",,2h ago,2018-11-15 13:42:45.157215,,"php, mysql, design",PHP Developer für e-Commerce
McLaren Applied Technologies,"
             - 
London, UK        ",Paid relocation,2h ago,2018-11-15 13:42:45.157215,,"java, spring, agile, real-time-data, mongodb",Senior Software Engineer - Java
IBM,"
             - 
Bratislava, Slovakia        ",,2h ago,2018-11-15 13:42:45.172839,,"cloud, javascript, java",Frontend Web Developer - Cognitive Applications
Payworks GmbH,"
             - 
Munich, Germany        ","Visa sponsor, Paid relocation",3h ago,2018-11-15 13:42:45.172839,,"linux, windows, macos, sysadmin",Office IT and System Administrator (M/F)
IBM,"
             - 
Bratislava, Slovakia        ",,3h ago,2018-11-15 13:42:45.172839,,"cloud, javascript, java, backend",Backend Web Developer - Cognitive Applications
grandcentrix GmbH,"
             - 
Köln, Deutschland        ","On-site and limited remote, Paid relocation",3h ago,2018-11-15 13:42:45.172839,,"elixir, elm, angularjs, rest, javascript",FULL-STACK WEB DEVELOPER (M/W)
Scotiabank,"
             - 
Toronto, ON, Canada        ",,3h ago,2018-11-15 13:42:45.172839,,"java, automation, qa","Java Developer, Test Automation"
SCHUFA Holding AG,"
             - 
Wiesbaden, Deutschland        ",,3h ago,2018-11-15 13:42:45.172839,,"hybris, java, groovy, spring",Senior Java-Entwickler SAP Hybris (m/w)
Centraal bureau voor de statistiek,"
             - 
Den Haag, Netherlands        ",,3h ago,2018-11-15 13:42:45.172839,€32k - 58k,"agile, c#, node.js, xamarin",Software Engineer Information Dialogue
Zenjob,"
             - 
Berlin, Deutschland        ",,3h ago,2018-11-15 13:42:45.172839,,"ios, objective-c, swift",Intern/Working student iOS Developer (m/f)
whitespectre,"
             - 
No office location        ",Remote,3h ago,2018-11-15 13:42:45.172839,,"project-management, continuous-integration, ruby-on-rails",Sr Ruby on Rails Engineer
denkwerk,"
             - 
Köln, Deutschland        ",,3h ago,2018-11-15 13:42:45.172839,,"java, spring, java-ee, struts, hibernate",Java Developer (m/f)
Comcast,"
             - 
Philadelphia, PA        ",,5h ago,2018-11-15 13:42:45.748269,,"android, java, mobile",Senior Android Developer
InVision AG,"
             - 
Düsseldorf, Deutschland        ",,3h ago,2018-11-15 13:42:45.748269,€45k - 65k,"ruby, ruby-on-rails, javascript, elixir, typescript",Software Engineer
InVision AG,"
             - 
Leipzig, Deutschland        ",,3h ago,2018-11-15 13:42:45.748269,€45k - 65k,"ruby, ruby-on-rails, elixir, python, c++",Backend Developer
Amenity Analytics Ltd.,"
             - 
Tel Aviv-Yafo, Israel        ",,3h ago,2018-11-15 13:42:45.748269,,"java, python, amazon-web-services, serverless-framework, tdd",Senior software developer
Amenity Analytics Ltd.,"
             - 
Tel Aviv-Yafo, Israel        ",,4h ago,2018-11-15 13:42:45.763892,,"java, python, amazon-web-services, tdd, serverless-framework",Software architect
Maiwald Patentanwalts- und Rechtsanwalts GmbH,"
             - 
München, Deutschland        ",,4h ago,2018-11-15 13:42:45.763892,,"c#, asp.net, html, css, javascript",IT-Entwickler/IT-Entwicklerin in Vollzeit
Sterblue,"
             - 
No office location        ",Remote,4h ago,2018-11-15 13:42:45.763892,,"reactjs, user-interface, javascript, node.js, graphql",Lead front-end engineer
Semantic Web Company,"
             - 
Wien, Austria        ",,4h ago,2018-11-15 13:42:45.763892,€35k - 50k,"javascript, css, html5, typescript, user-interface",JavaScript Web Developer (m/f)
Elastic,"
             - 
No office location        ",Remote,4h ago,2018-11-15 13:42:45.763892,,"elasticsearch, javascript, reactjs, node.js, kibana",UI Tech Lead - Kibana Elasticsearch
JP Morgan Chase,"
             - 
Glasgow, UK        ",,4h ago,2018-11-15 13:42:45.763892,,"java, python, sql",Software Engineer - Java
Red Ventures Limited,"
             - 
London, UK        ",,4h ago,2018-11-15 13:42:45.763892,,"apache-spark, scala, amazon-redshift, google-bigquery, data-science",Data Engineer
Swedbank AB,"
             - 
Sundbyberg, Sweden        ",,4h ago,2018-11-15 13:42:45.763892,,"java, agile, javascript, css3, angularjs",Software Engineer
