title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
Technical Program Manager,"scrum, agile",,"ON, Canada",Toronto,Kindred AI,2018-11-15 12:42:44.056522,C$,21,27,24.0
Platform Engineer,"node.js, amazon-web-services, terraform, docker, kubernetes",Remote,,,Articulate Inc.,2018-11-15 12:42:44.058503,-,0,0,0.0
Fullstack Web Developer at Esports Tech Startup,"c#, asp.net, angularjs, javascript, .net",Visa sponsor,Suécia,Stockholm,Challengermode,2018-11-15 12:42:44.059503,SEK,14,22,18.0
Front to back Developer,"c#, .net, javascript, node.js",,"Nova York, EUA",New York,Compliance Solutions Strategies,2018-11-15 12:42:44.061502,-,0,0,0.0
Senior Java Developer,"java, spring, java-ee, rest, springboot",,Alemanha,München,Celonis SE,2018-11-15 12:42:44.063500,-,0,0,0.0
Front End Developer,"javascript, reactjs, angular, node.js, vue.js",,"Nova York, EUA",New York,Boyle Software,2018-11-15 12:42:44.064499,$,28,38,33.0
Sr. Full Stack Software Development Engineer,"java, spring, user-interface, jira, jenkins",Paid relocation,"Nova Jersey, EUA",Franklin Lakes,Velocity Resource Group,2018-11-15 12:42:44.066498,-,0,0,0.0
Laravel and VueJS development team leader,"laravel, php, javascript, html5, vue.js",Remote,,,Curotec,2018-11-15 12:42:44.067498,-,0,0,0.0
Sr. Java Engineer,"java, cassandra",Paid relocation,"Georgia, EUA",Atlanta,Grid Dynamics,2018-11-15 12:42:44.069496,-,0,0,0.0
Front-end/Full Stack Javascript/React Developer,"reactjs, javascript, node.js, graphql, angular",,"Massachusetts, EUA",Boston,Pulsify Inc,2018-11-15 12:42:44.070496,$,28,40,34.0
"C++ Entwickler (Junior, Senior) Windows/Linux Desktop","c++, boost, sql, wxwidgets",,Alemanha,Erlangen,IZT GmbH,2018-11-15 12:42:44.072495,-,0,0,0.0
Fullstack Developer (f/m),"java, spring, amazon-web-services, microservices, docker",,Polônia,Kraków,zooplus AG,2018-11-15 12:42:44.073494,-,0,0,0.0
Senior Frontend Developer (m/f),"html5, css3, twitter-bootstrap, javascript, compass",,Áustria,Fuschl am See,zooom productions gmbh,2018-11-15 12:42:44.075493,-,0,0,0.0
Senior Java Developer,"spring, java, spring-mvc, akka, java-ee","Visa sponsor, Paid relocation",Holanda,Amsterdam,Quby,2018-11-15 12:42:44.076493,€,17,26,21.5
Frontend Developer,"javascript, css, html, reactjs, redux","Visa sponsor, Paid relocation",Holanda,Amsterdam,Quby,2018-11-15 12:42:44.078492,€,17,26,21.5
".Net Developer: £35,000 - £45,000",".net, c#, entity-framework-6, rest",,Reino Unido,London,Dam Digital Limited,2018-11-15 12:42:44.080490,£,14,19,16.5
Senior Android Developer,"android, kotlin, rxjava, gradle, mobile","Visa sponsor, Paid relocation",Alemanha,Berlin,Blinkist,2018-11-15 12:42:44.081490,-,0,0,0.0
Big Data Engineer,"scala, java, amazon-web-services, bigdata",,"Washington, EUA",Washington,Bloomberg BNA,2018-11-15 12:42:44.083488,$,42,57,49.5
(Senior) Software Engineer (m/f/d) - Ruby on Rails,"react, ruby, ruby-on-rails, elasticsearch, docker","Visa sponsor, Paid relocation",Alemanha,Munich,XING SE,2018-11-15 12:42:44.084488,€,17,28,22.5
Data Architect,"java, etl, user-experience, hadoop, python",,"Washington, EUA",Washington,Bloomberg BNA,2018-11-15 12:42:44.086487,-,0,0,0.0
Data Engineer,"java, bigdata, amazon-web-services, scala, apache-spark",Visa sponsor,"Virgínia, EUA",Arlington,Bloomberg BNA,2018-11-15 12:42:44.087486,$,40,57,48.5
Full-Stack .NET Developer,"c#, asp.net, angular, angularjs, machine-learning",,"Texas, EUA",Magnolia,ThoughtTrace,2018-11-15 12:42:44.089485,-,0,0,0.0
.NET Developer,".net, reactjs, angularjs, javascript",,"Virgínia, EUA",Arlington,Bloomberg BNA,2018-11-15 12:42:44.090741,$,42,51,46.5
Chef de projet confirmé (h/f) - Support technique et Exploitabilité,moa,,França,Paris,SFR,2018-11-15 12:42:44.090741,-,0,0,0.0
